drug,disease
drug::DB05271,disease::5391
drug::DB00268,disease::5391
drug::DB00996,disease::5391
drug::DB08872,disease::5391
drug::DB00413,disease::5391
drug::DB05271,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB05271,disease::10482
drug::DB05271,disease::10709
drug::DB05271,disease::14231
drug::DB05271,disease::18321
drug::DB05271,disease::18466
drug::DB11632,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB11632,disease::10482
drug::DB11632,disease::10709
drug::DB11632,disease::14231
drug::DB11632,disease::18321
drug::DB11632,disease::18466
drug::DB00268,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB00268,disease::10482
drug::DB00268,disease::10709
drug::DB00268,disease::14231
drug::DB00268,disease::18321
drug::DB00268,disease::18466
drug::DB00245,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB00245,disease::10482
drug::DB00245,disease::10709
drug::DB00245,disease::14231
drug::DB00245,disease::18321
drug::DB00245,disease::18466
drug::DB00942,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB00942,disease::10482
drug::DB00942,disease::10709
drug::DB00942,disease::14231
drug::DB00942,disease::18321
drug::DB00942,disease::18466
drug::DB00387,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB00387,disease::10482
drug::DB00387,disease::10709
drug::DB00387,disease::14231
drug::DB00387,disease::18321
drug::DB00387,disease::18466
drug::DB00915,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB00915,disease::10482
drug::DB00915,disease::10709
drug::DB00915,disease::14231
drug::DB00915,disease::18321
drug::DB00915,disease::18466
drug::DB05316,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB05316,disease::10482
drug::DB05316,disease::10709
drug::DB05316,disease::14231
drug::DB05316,disease::18321
drug::DB05316,disease::18466
drug::DB01235,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB01235,disease::10482
drug::DB01235,disease::10709
drug::DB01235,disease::14231
drug::DB01235,disease::18321
drug::DB01235,disease::18466
drug::DB00714,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB00714,disease::10482
drug::DB00714,disease::10709
drug::DB00714,disease::14231
drug::DB00714,disease::18321
drug::DB00714,disease::18466
drug::DB00810,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB00810,disease::10482
drug::DB00810,disease::10709
drug::DB00810,disease::14231
drug::DB00810,disease::18321
drug::DB00810,disease::18466
drug::DB00190,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB00190,disease::10482
drug::DB00190,disease::10709
drug::DB00190,disease::14231
drug::DB00190,disease::18321
drug::DB00190,disease::18466
drug::DB01200,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB01200,disease::10482
drug::DB01200,disease::10709
drug::DB01200,disease::14231
drug::DB01200,disease::18321
drug::DB01200,disease::18466
drug::DB06262,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB06262,disease::10482
drug::DB06262,disease::10709
drug::DB06262,disease::14231
drug::DB06262,disease::18321
drug::DB06262,disease::18466
drug::DB11757,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB11757,disease::10482
drug::DB11757,disease::10709
drug::DB11757,disease::14231
drug::DB11757,disease::18321
drug::DB11757,disease::18466
drug::DB01037,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB01037,disease::10482
drug::DB01037,disease::10709
drug::DB01037,disease::14231
drug::DB01037,disease::18321
drug::DB01037,disease::18466
drug::DB00376,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB00376,disease::10482
drug::DB00376,disease::10709
drug::DB00376,disease::14231
drug::DB00376,disease::18321
drug::DB00376,disease::18466
drug::DB01367,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB01367,disease::10482
drug::DB01367,disease::10709
drug::DB01367,disease::14231
drug::DB01367,disease::18321
drug::DB01367,disease::18466
drug::DB00323,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB00323,disease::10482
drug::DB00323,disease::10709
drug::DB00323,disease::14231
drug::DB00323,disease::18321
drug::DB00323,disease::18466
drug::DB06654,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB06654,disease::10482
drug::DB06654,disease::10709
drug::DB06654,disease::14231
drug::DB06654,disease::18321
drug::DB06654,disease::18466
drug::DB00494,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB00494,disease::10482
drug::DB00494,disease::10709
drug::DB00494,disease::14231
drug::DB00494,disease::18321
drug::DB00494,disease::18466
drug::DB00413,disease::11764_11658_13625_8199_14604_11613_14233_11562_8200_14796_17279_5180_6966_828_10796_10360_11737_13167
drug::DB00413,disease::10482
drug::DB00413,disease::10709
drug::DB00413,disease::14231
drug::DB00413,disease::18321
drug::DB00413,disease::18466
drug::DB00211,disease::7803
drug::DB00211,disease::11479
drug::DB00211,disease::20751_5469_15914_21272
drug::DB06262,disease::7803
drug::DB06262,disease::11479
drug::DB06262,disease::20751_5469_15914_21272
drug::DB00313,disease::5027
drug::DB01320,disease::5027
drug::DB00832,disease::5027
drug::DB00555,disease::5027
drug::DB05246,disease::5027
drug::DB00599,disease::5027
drug::DB00312,disease::5027
drug::DB00418,disease::5027
drug::DB01121,disease::5027
drug::DB01351,disease::5027
drug::DB00252,disease::5027
